Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,57.500000,59.750000,57.400002,59.400002,59.400002,969300
2018-07-03,59.500000,60.799999,59.049999,59.849998,59.849998,598700
2018-07-05,60.400002,62.974998,60.049999,62.799999,62.799999,1093300
2018-07-06,62.700001,63.549999,61.599998,63.349998,63.349998,709000
2018-07-09,64.550003,65.300003,62.904999,65.150002,65.150002,1524400
2018-07-10,65.199997,65.650002,61.450001,62.200001,62.200001,1481500
2018-07-11,62.049999,63.250000,61.799999,62.700001,62.700001,797100
2018-07-12,63.599998,65.745003,63.349998,65.449997,65.449997,1372100
2018-07-13,66.150002,67.849998,65.873001,66.099998,66.099998,1087500
2018-07-16,66.050003,67.150002,65.425003,67.050003,67.050003,983600
2018-07-17,67.250000,69.599998,67.099998,68.300003,68.300003,1892600
2018-07-18,68.750000,69.500000,67.400002,69.150002,69.150002,833900
2018-07-19,69.550003,71.300003,69.331001,70.400002,70.400002,1512000
2018-07-20,70.849998,70.900002,68.349998,68.550003,68.550003,1132300
2018-07-23,68.550003,70.175003,67.750000,69.550003,69.550003,823900
2018-07-24,67.400002,68.224998,62.849998,63.700001,63.700001,3659400
2018-07-25,64.900002,67.449997,64.449997,66.900002,66.900002,3348300
2018-07-26,66.550003,67.000000,65.199997,65.900002,65.900002,1042900
2018-07-27,66.099998,66.500000,63.500000,63.849998,63.849998,1272500
2018-07-30,63.750000,64.500000,59.549999,61.049999,61.049999,2741600
2018-07-31,61.049999,63.700001,59.599998,59.849998,59.849998,2054300
2018-08-01,59.849998,62.700001,59.799999,61.849998,61.849998,2138700
2018-08-02,62.700001,65.500000,61.349998,65.250000,65.250000,2728700
2018-08-03,62.700001,66.250000,62.250000,62.500000,62.500000,1095600
2018-08-06,62.500000,66.599998,62.375000,66.000000,66.000000,1636200
2018-08-07,66.000000,67.650002,65.949997,66.699997,66.699997,1254400
2018-08-08,67.250000,69.925003,66.750000,69.349998,69.349998,2310500
2018-08-09,69.900002,70.900002,68.750000,69.000000,69.000000,1374000
2018-08-10,68.650002,71.900002,68.550003,71.849998,71.849998,3588200
2018-08-13,72.000000,73.250000,69.089996,69.500000,69.500000,1732200
2018-08-14,69.449997,71.900002,69.000000,71.699997,71.699997,962100
2018-08-15,70.849998,71.400002,69.400002,70.750000,70.750000,865100
2018-08-16,72.500000,72.949997,70.373001,72.599998,72.599998,1117600
2018-08-17,72.699997,73.949997,71.849998,73.949997,73.949997,1123900
2018-08-20,74.050003,76.750000,73.349998,75.300003,75.300003,1429200
2018-08-21,75.599998,75.900002,74.599998,74.849998,74.849998,1255800
2018-08-22,74.599998,76.199997,73.500000,75.699997,75.699997,1133500
2018-08-23,75.849998,77.250000,75.300003,75.800003,75.800003,1026300
2018-08-24,76.250000,76.550003,75.324997,75.750000,75.750000,1286300
2018-08-27,77.150002,77.199997,73.550003,74.050003,74.050003,1633900
2018-08-28,73.800003,74.599998,71.800003,74.500000,74.500000,1280300
2018-08-29,75.000000,75.400002,73.150002,74.050003,74.050003,1178600
